[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.435678","0","13"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.435678","0","13"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.417478","0","11"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.517478","0","12"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.534478","0","13"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:43] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","12.735088","0","14"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","6.534478","0","13"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","5.394178","0","12"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0"
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","4.762205","0","11"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0","1"],["2574.37","0.738336
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","4.662205","0","10"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0","1"],["2574.37","0.738336
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","4.662205","0","10"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0","1"],["2574.37","0.738336
[2025-07-04 00:37:44] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","4.016124","0","5"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0","1"],["2574.37","0.738336"
[2025-07-04 00:37:45] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.345674","0","6"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0","1"],["2574.37","0.738336"
[2025-07-04 00:37:45] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.345674","0","6"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:45] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.360274","0","7"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:45] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.345674","0","6"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.27","7.345674","0","6"],["2574.29","0.1","0","1"],["2574.34","0.401501","0","1"],["2574.35","0.5","0","1"],["2574.36","0.1","0",
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.11","13.358593","0","7"],["2574.26","0.594668","0","2"],["2574.27","0.2138","0","2"],["2574.29","0.1","0","1"],["2574.3","0.0038
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.01","11.880527","0","6"],["2574.25","0.45366","0","1"],["2574.26","1.512201","0","2"],["2574.27","0.2138","0","2"],["2574.29","0
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.01","11.880527","0","6"],["2574.2","0.0038","0","1"],["2574.25","0.45366","0","1"],["2574.26","1.512201","0","2"],["2574.27","0.
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.01","11.7785","0","5"],["2574.2","0.0038","0","1"],["2574.26","1.512201","0","2"],["2574.27","0.2138","0","2"],["2574.35","0.5",
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.01","1.753","0","2"],["2574.2","0.0038","0","1"],["2574.26","1.512201","0","2"],["2574.27","0.2138","0","2"],["2574.35","0.5","0
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.314178","0","6"],["2574.26","0.892138","0","2"],["2574.27","0.2138","0","2"],["2574.29","0.0038","0","1"],["2574.35","0.5"
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.314178","0","6"],["2574.26","0.892138","0","2"],["2574.27","0.2138","0","2"],["2574.29","0.0038","0","1"],["2574.35","0.5"
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.473478","0","7"],["2574.26","0.892138","0","2"],["2574.27","0.2138","0","2"],["2574.29","0.0038","0","1"],["2574.35","0.5"
[2025-07-04 00:37:46] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.473478","0","7"],["2574.26","3.057943","0","2"],["2574.27","0.2138","0","2"],["2574.29","0.0038","0","1"],["2574.35","0.5"
[2025-07-04 00:37:47] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.473478","0","7"],["2574.26","3.057943","0","2"],["2574.27","0.2","0","1"],["2574.29","0.0038","0","1"],["2574.35","0.5","0
[2025-07-04 00:37:47] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.573478","0","8"],["2574.16","0.1","0","1"],["2574.22","0.1","0","1"],["2574.26","3.057943","0","2"],["2574.27","0.2","0","
[2025-07-04 00:37:47] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.587278","0","9"],["2574.16","0.1","0","1"],["2574.22","0.1","0","1"],["2574.26","3.057943","0","2"],["2574.27","0.2","0","
[2025-07-04 00:37:47] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.427978","0","8"],["2574.16","0.1","0","1"],["2574.22","0.1","0","1"],["2574.26","3.057943","0","2"],["2574.27","0.2","0","
[2025-07-04 00:37:47] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.427978","0","8"],["2574.16","0.1","0","1"],["2574.22","0.1","0","1"],["2574.26","2.1022","0","1"],["2574.27","0.2","0","1"
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.307978","0","7"],["2574.16","0.1","0","1"],["2574.22","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","6.014205","0","4"],["2574.16","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.29","0.1038","0
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","2.977124","0","3"],["2574.16","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.29","0.1038","0
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","3.097124","0","4"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.29","0.1038","0","2"],["2574.35","0.5","0
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","7.189536","0","7"],["2574.26","1.538061","0","2"],["2574.27","0.2","0","1"],["2574.29","0.1038","0","2"],["2574.35","0.5","0
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","7.189536","0","7"],["2574.26","1.538061","0","2"],["2574.27","0.2","0","1"],["2574.29","0.1038","0","2"],["2574.35","0.5","0
[2025-07-04 00:37:48] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","7.189536","0","7"],["2574.16","0.1","0","1"],["2574.23","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","
[2025-07-04 00:37:49] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","3.34235","0","2"],["2574.16","0.1","0","1"],["2574.23","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1
